"Car Name","Car Price","Car Mileage","Fuel Consumption","Phone Number","Payment","Address"
"2016 BMW M3 Sedan RWD","$39,910","140,978 km","12 L/100km","(289) 803-5078","Est. $660/mo.*","Woodbridge, ON"
"2022 Audi RS 5 Sportback 2.9T quattro AWD","$90,675","24,855 km","11.435 L/100km","(587) 806-3690","Est. $1,499/mo.*","Edmonton, AB"
"2019 Honda Civic Touring FWD","$23,700","83,546 km","7.08 L/100km","(877) 511-5516","Est. $392/mo.*","Calgary, AB"
"2022 Honda Civic Touring FWD","$29,900","1,135 km","No Information Found","(778) 743-4121","Est. $495/mo.*","Surrey, BC"
"2022 Honda Civic LX FWD","$22,995","23,000 km","6.835 L/100km","(506) 497-2792","Est. $381/mo.*","Lévis, QC"
"2017 Dodge Charger SXT RWD","$16,869","151,000 km","10.33 L/100km","(778) 601-7699","Est. $279/mo.*","Surrey, BC"
"2023 Genesis G90 3.5T AWD","$94,998","473 km","11.255 L/100km","(778) 743-2886","Est. $1,570/mo.*","Winnipeg, MB"
"2019 Volkswagen Jetta Comfortline FWD","$16,800","93,000 km","No Information Found","(844) 987-2350","Est. $278/mo.*","Langley City, BC"
"2007 BMW 3 Series 328xi Sedan AWD","$6,888","130,492 km","11.82 L/100km","(604) 239-1356","Est. $114/mo.*","Edmonton, AB"
"2018 Toyota Corolla LE","$18,300","61,000 km","7.635 L/100km","(587) 803-4614","Est. $303/mo.*","New Westminster, BC"
"2012 Volkswagen Jetta Trendline","$3,069","159,663 km","No Information Found","(604) 332-0217","Est. $51/mo.*","Mississauga, ON"
"2014 BMW M5 RWD","$38,888","100,037 km","14.55 L/100km","(604) 227-0369","Est. $643/mo.*","Mississauga, ON"
"2021 Kia Forte EX FWD","$19,990","54,000 km","7.11 L/100km","No Information Found","Est. $331/mo.*","New Westminster, BC"
"2021 Audi RS 5 Sportback 2.9T quattro AWD","$82,998","33,300 km","11.435 L/100km","No Information Found","Est. $1,372/mo.*","Burnaby, BC"
"2022 Audi S4 3.0T quattro Prestige AWD","$64,850","17,136 km","9.67 L/100km","No Information Found","Est. $1,072/mo.*","Surrey, BC"
"2023 Genesis G80 3.5T Sport AWD","$66,505","30,469 km","12.315 L/100km","(705) 996-3330","Est. $1,100/mo.*","Midland, ON"
"2017 BMW 3 Series 330i xDrive Sedan AWD","$20,998","68,685 km","8.805 L/100km","(647) 557-2196","Est. $348/mo.*","Scarborough, ON"
"2010 Ford Taurus SEL","$3,495","258,311 km","11.12 L/100km","(844) 418-1062","Est. $58/mo.*","London, ON"
"2019 Hyundai Sonata","$17,500","83,195 km","No Information Found","(778) 743-4121","Est. $290/mo.*","Surrey, BC"
"2020 Honda Civic Touring Sedan FWD","$26,800","20,400 km","7.08 L/100km","(833) 298-5425","Est. $443/mo.*","Calgary, AB"
"2023 Mercedes-Benz E-Class E AMG 63 S 4MATIC Sedan AWD","$166,899","3,467 km","12.495 L/100km","(450) 954-2004","Est. $2,759/mo.*","Vancouver, BC"
"2018 Honda Accord 1.5T Touring FWD","$19,995","139,000 km","7.47 L/100km","(855) 692-0419","Est. $331/mo.*","Toronto, ON"
"2017 Honda Accord V6 Touring FWD","$21,990","70,000 km","9.355 L/100km","(604) 265-7764","Est. $364/mo.*","New Westminster, BC"
"2019 Ford Fusion SE","$18,300","33,000 km","8.715 L/100km","(604) 239-1356","Est. $303/mo.*","New Westminster, BC"
"2022 Dodge Charger SXT RWD","$35,999","6,165 km","10.33 L/100km","(778) 720-6410","Est. $595/mo.*","Surrey, BC"
"2020 Kia Forte EX FWD","$15,950","171,830 km","7.11 L/100km","(844) 938-2881","Est. $264/mo.*","Ottawa, ON"
"2020 Honda Civic EX Sedan FWD","$22,990","34,000 km","6.59 L/100km","(604) 332-0217","Est. $380/mo.*","New Westminster, BC"
"2019 Chrysler 300 S AWD","$22,999","115,300 km","11.12 L/100km","(604) 243-1764","Est. $381/mo.*","Burnaby, BC"
"2022 Dodge Charger Police AWD","$34,995","14,300 km","11.12 L/100km","(866) 328-4720","Est. $579/mo.*","Hamilton, ON"
"2021 Kia K5 EX FWD","$29,995","60,011 km","7.665 L/100km","(855) 703-1741","Est. $496/mo.*","Lethbridge, AB"
