"Car Name","Car Price","Car Mileage","Fuel Consumption","Phone Number","Payment","Address"
"2014 DODGE JOURNEY R T- 7 PASSANGER","$11,490","165,380 km"," ","1-888-802-3504","$222 Bi-Weekly","No Information Found!"
"2015 BMW 3 SERIES 320I XDRIVE","$12,990","188,706 km"," ","1-888-802-3504","$208 Bi-Weekly","No Information Found!"
"2017 DODGE GRAND CARAVAN SXT PREMIUM PLUS","$14,490","182,443 km"," ","1-888-802-3504","$172 Bi-Weekly","No Information Found!"
"2017 HONDA HR-V EX","$19,990","163,179 km"," ","1-888-802-3504","$197 Bi-Weekly","No Information Found!"
"2016 VOLKSWAGEN PASSAT COMFORTLINE","$15,990","100,121 km"," ","1-888-802-3504","$140 Bi-Weekly","No Information Found!"
"2018 KIA STINGER GT LIMITED","$29,490","122,910 km"," ","1-888-802-3504","$233 Bi-Weekly","No Information Found!"
"2016 MAZDA MAZDA3 GX","$9,490","198,881 km"," ","1-888-802-3504","$143 Bi-Weekly","No Information Found!"
"2017 NISSAN ROGUE SV","$16,990","128,960 km"," ","1-888-802-3504","$138 Bi-Weekly","No Information Found!"
"2016 HYUNDAI ELANTRA GT GLS","$13,490","170,245 km"," ","1-888-802-3504","$183 Bi-Weekly","No Information Found!"
"2018 SUBARU FORESTER LIMITED","$24,490","139,333 km"," ","1-888-802-3504","$245 Bi-Weekly","No Information Found!"
"2017 RAM 1500 ST","$25,990","182,364 km"," ","1-888-802-3504","$328 Bi-Weekly","No Information Found!"
"2016 NISSAN ALTIMA 2.5 SV","$13,990","160,484 km"," ","1-888-802-3504","$132 Bi-Weekly","No Information Found!"
"2017 NISSAN ROGUE AWD 4DR SV","$16,490","176,127 km"," ","1-888-802-3504","$177 Bi-Weekly","No Information Found!"
"2016 DODGE DART SXT","$11,490","144,230 km"," ","1-888-802-3504","$105 Bi-Weekly","No Information Found!"
"2018 KIA FORTE LX MANUAL","$14,990","83,400 km"," ","1-888-802-3504","$97 Bi-Weekly","No Information Found!"
"2017 DODGE JOURNEY SE PLUS 7 PASSENGER","$11,490","182,632 km"," ","1-888-802-3504","$132 Bi-Weekly","No Information Found!"
"2018 NISSAN SENTRA SV","$14,490","162,865 km"," ","1-888-802-3504","$137 Bi-Weekly","No Information Found!"
"2016 FORD FUSION SE","$13,490","175,999 km"," ","1-888-802-3504","$183 Bi-Weekly","No Information Found!"
"2016 TOYOTA RAV4 LE","$19,990","150,923 km"," ","1-888-802-3504","$197 Bi-Weekly","No Information Found!"
"2014 NISSAN PATHFINDER SL","$11,990","192,725 km"," ","1-888-802-3504","$234 Bi-Weekly","No Information Found!"
"2018 CHEVROLET MALIBU LT","$15,990","169,779 km"," ","1-888-802-3504","$154 Bi-Weekly","No Information Found!"
"2015 JEEP PATRIOT NORTH","$10,990","176,546 km"," ","1-888-802-3504","$144 Bi-Weekly","No Information Found!"
"2015 JEEP RENEGADE SPORT","$11,490","187,669 km"," ","1-888-802-3504","$180 Bi-Weekly","No Information Found!"
"2015 HYUNDAI SANTA FE SPORT PREMIUM","$11,990","193,248 km"," ","1-888-802-3504","$189 Bi-Weekly","No Information Found!"
"2015 AUDI Q3 TECHNIC","$18,490","160,494 km"," ","1-888-802-3504","$227 Bi-Weekly","No Information Found!"
"2016 VOLKSWAGEN GOLF TRENDLINE","$14,990","116,980 km"," ","1-888-802-3504","$130 Bi-Weekly","No Information Found!"
"2016 CHRYSLER 200 LIMITED","$14,990","126,765 km"," ","1-888-802-3504","$130 Bi-Weekly","No Information Found!"
"2015 MERCEDES-BENZ C-CLASS C 400","$24,990","132,702 km"," ","1-888-802-3504","$279 Bi-Weekly","No Information Found!"
"2016 CHEVROLET CRUZE LT","$9,490","180,677 km"," ","1-888-802-3504","$121 Bi-Weekly","No Information Found!"
"2015 DODGE JOURNEY CROSSROAD","$11,990","184,149 km"," ","1-888-802-3504","$160 Bi-Weekly","No Information Found!"
"2016 MITSUBISHI RVR SE","$16,490","176,058 km"," ","1-888-802-3504","$230 Bi-Weekly","No Information Found!"
"2015 CHRYSLER 200 LIMITED","$16,490","96,859 km"," ","1-888-802-3504","$177 Bi-Weekly","No Information Found!"
"2017 NISSAN ROGUE SV","$20,490","153,008 km"," ","1-888-802-3504","$202 Bi-Weekly","No Information Found!"
"2016 LAND ROVER DISCOVERY SPORT HSE LUXURY","$25,990","124,497 km"," ","1-888-802-3504","$238 Bi-Weekly","No Information Found!"
"2019 NISSAN SENTRA S MANUAL","$20,490","85,373 km"," ","1-888-802-3504","$147 Bi-Weekly","No Information Found!"
"2018 FORD MUSTANG ECOBOOST","$28,490","115,942 km"," ","1-888-802-3504","$224 Bi-Weekly","No Information Found!"
"2018 KIA SOUL EX","$17,990","129,639 km"," ","1-888-802-3504","$136 Bi-Weekly","No Information Found!"
"2015 HYUNDAI SANTA FE SPORT PREMIUM","$17,490","163,464 km"," ","1-888-802-3504","$213 Bi-Weekly","No Information Found!"
"2018 CHEVROLET CRUZE LT","$18,990","130,171 km"," ","1-888-802-3504","$186 Bi-Weekly","No Information Found!"
"2014 DODGE JOURNEY R T","$13,490","150,477 km"," ","1-888-802-3504","$183 Bi-Weekly","No Information Found!"
