"Car Name","Car Price","Car Mileage","Fuel Consumption","Phone Number","Payment","Address"
"Ford F-150","$62,585","New","12.5 City / 10.7 Highway","(905) 632-6252","$381/bi-weekly","Available at Go Terrace Ford Lincoln"
"Toyota Corolla","$20,997","29,100 km","8.3 City / 6.7 Highway","(905) 632-6252","$196/bi-weekly","Available at Go Terrace Ford Lincoln"
"Ford F-150","$62,505","New","12.5 City / 10.7 Highway","(905) 632-6252","$381/bi-weekly","Available at Go Terrace Ford Lincoln"
"Volkswagen Golf GTI","$25,997","69,800 km","9.7 City / 7 Highway","(905) 632-6252","$243/bi-weekly","Available at Go Terrace Ford Lincoln"
"Lexus RX 350","$41,997","48,600 km","12.2 City / 9 Highway","(905) 632-6252","$392/bi-weekly","Available at Go Terrace Ford Lincoln"
"Ford Mustang Mach-E","$69,290","New","No Information Found","(905) 632-6252","$490/bi-weekly","Available at Go Terrace Ford Lincoln"
"Ford Mustang Mach-E","$57,190","New","No Information Found","(905) 632-6252","$404/bi-weekly","Available at Go Terrace Ford Lincoln"
"Ford F-150 Lightning","$101,580","New","No Information Found","(905) 632-6252","$707/bi-weekly","Available at Go Terrace Ford Lincoln"
"Ford F-150","$61,345","New","12.5 City / 10.7 Highway","(905) 632-6252","$374/bi-weekly","Available at Go Terrace Ford Lincoln"
"Acura RDX","$25,274","99,300 km","12.4 City / 8.6 Highway","(905) 632-6252","$236/bi-weekly","Available at Go Terrace Ford Lincoln"
"Ford Ranger","$38,997","42,300 km","12.1 City / 12.3 Highway","(905) 632-6252","$280/bi-weekly","Available at Go Terrace Ford Lincoln"
"Ford Escape","$20,497","94,000 km","11.2 City / 8.4 Highway","(905) 632-6252","$191/bi-weekly","Available at Go Terrace Ford Lincoln"
"BMW X3","$32,297","81,000 km","10.8 City / 8 Highway","(905) 632-6252","$302/bi-weekly","Available at Go Terrace Ford Lincoln"
"Ford F-150","$60,765","New","12.5 City / 10.7 Highway","(905) 632-6252","$370/bi-weekly","Available at Go Terrace Ford Lincoln"
"Subaru WRX","$25,497","103,000 km","11.3 City / 8.5 Highway","(905) 632-6252","$238/bi-weekly","Available at Go Terrace Ford Lincoln"
"Volkswagen Golf GTI","$26,997","75,500 km","9.6 City / 7.5 Highway","(905) 632-6252","$252/bi-weekly","Available at Go Terrace Ford Lincoln"
"Ford Explorer","$26,997","133,000 km","14.4 City / 10.5 Highway","(905) 632-6252","$252/bi-weekly","Available at Go Terrace Ford Lincoln"
"Ford Edge","$48,145","New","11.5 City / 8.4 Highway","(905) 632-6252","$303/bi-weekly","Available at Go Terrace Ford Lincoln"
"Ford F-150","$76,530","New","12.8 City / 10 Highway","(905) 632-6252","$466/bi-weekly","Available at Go Terrace Ford Lincoln"
"Ford F-150","$72,405","New","12.8 City / 10 Highway","(905) 632-6252","$441/bi-weekly","Available at Go Terrace Ford Lincoln"
"Ford F-150","$75,255","New","12.8 City / 10 Highway","(905) 632-6252","$459/bi-weekly","Available at Go Terrace Ford Lincoln"
