"Car Name","Car Price","Car Mileage","Fuel Consumption","Phone Number","Payment","Address"
"2004 Pontiac Bonneville GXP","$4,900","161,210 km","13.45 L/100km","(778) 743-2886","Est. $81/mo.*","Kamloops, BC"
"2019 Mazda MAZDA3 GS Sedan FWD","$18,800","87,000 km","No Information Found","(604) 239-1356","Est. $311/mo.*","Langley City, BC"
"2018 Toyota Corolla LE","$18,300","61,000 km","7.635 L/100km","(647) 557-2196","Est. $303/mo.*","New Westminster, BC"
"2023 Genesis G90 3.5T AWD","$94,998","473 km","11.255 L/100km","(833) 298-5425","Est. $1,570/mo.*","Winnipeg, MB"
"2017 BMW 3 Series 330i xDrive Sedan AWD","$20,998","68,685 km","8.805 L/100km","(844) 987-2350","Est. $348/mo.*","Scarborough, ON"
"2020 Honda Civic Touring Sedan FWD","$26,800","20,400 km","7.08 L/100km","(289) 803-5078","Est. $443/mo.*","Calgary, AB"
"2007 BMW 3 Series 328xi Sedan AWD","$6,888","130,420 km","11.82 L/100km","(705) 243-1825","Est. $114/mo.*","Edmonton, AB"
"2016 BMW M3 Sedan RWD","$39,910","140,978 km","12 L/100km","(604) 332-0217","Est. $660/mo.*","Woodbridge, ON"
"2012 Volkswagen Jetta Trendline","$3,069","159,663 km","No Information Found","(778) 743-4121","Est. $51/mo.*","Mississauga, ON"
"2022 Alfa Romeo Giulia Quadrifoglio RWD","$79,999","9,675 km","11.82 L/100km","(855) 692-0419","Est. $1,323/mo.*","Niagara Falls, ON"
"2021 Kia Forte EX FWD","$19,990","54,000 km","7.11 L/100km","No Information Found","Est. $331/mo.*","New Westminster, BC"
"2019 Hyundai Sonata","$17,500","83,195 km","No Information Found","No Information Found","Est. $290/mo.*","Surrey, BC"
"2018 Honda Accord 1.5T Touring FWD","$19,995","139,000 km","7.47 L/100km","No Information Found","Est. $331/mo.*","Toronto, ON"
"2011 Jaguar XF XF Premium RWD","$15,800","63,046 km","12.675 L/100km","No Information Found","Est. $262/mo.*","Richmond, BC"
"2021 Audi A8 L quattro 55 TFSI AWD","$67,900","33,188 km","11.64 L/100km","No Information Found","Est. $1,123/mo.*","North Vancouver, BC"
"2022 Audi S4 3.0T quattro Prestige AWD","$64,850","17,136 km","9.67 L/100km","(844) 938-2881","Est. $1,072/mo.*","Surrey, BC"
"2020 Kia Forte EX FWD","$15,950","171,830 km","7.11 L/100km","(902) 903-2392","Est. $264/mo.*","Ottawa, ON"
"2020 Genesis G80","$37,995","48,022 km","No Information Found","(450) 954-2004","Est. $628/mo.*","Antigonish, NS"
