Car Name,Car Price,Car Mileage,Fuel Consumption,Phone Number,Payment,Address
Ford F-150,"$69,290 ",New,11.5 City / 10.7 Highway,(905) 632-6252,$381/bi-weekly,Available at Go Terrace Ford Lincoln
Toyota Corolla,"$20,997 ","29,100 km",8.3 City / 6.7 Highway,(905) 632-6252,$196/bi-weekly,Available at Go Terrace Ford Lincoln
Ford F-150,"$62,505 ",New,12.5 City / 10.7 Highway,(905) 632-6252,$381/bi-weekly,Available at Go Terrace Ford Lincoln
Volkswagen Golf GTI,"$25,997 ","69,800 km",9.7 City / 7 Highway,(905) 632-6252,$243/bi-weekly,Available at Go Terrace Ford Lincoln
Lexus RX 350,"$41,997 ","48,600 km",12.2 City / 9 Highway,(905) 632-6252,$392/bi-weekly,Available at Go Terrace Ford Lincoln
Ford Mustang Mach-E,"$69,290 ",New,12.8 City / 10 Highway,(905) 632-6252,$490/bi-weekly,Available at Go Terrace Ford Lincoln
Ford Mustang Mach-E,"$69,290 ",New,9.7 City / 7 Highway,(905) 632-6252,$404/bi-weekly,Available at Go Terrace Ford Lincoln
Ford F-150 Lightning,"$61,345 ",New,11.2 City / 8.4 Highway,(905) 632-6252,$707/bi-weekly,Available at Go Terrace Ford Lincoln
Ford F-150,"$61,345 ",New,12.5 City / 10.7 Highway,(905) 632-6252,$374/bi-weekly,Available at Go Terrace Ford Lincoln
Acura RDX,"$25,497 ","99,300 km",12.4 City / 8.6 Highway,(905) 632-6252,$238/bi-weekly,Available at Go Terrace Ford Lincoln
Ford Ranger,"$38,997 ","42,300 km",12.1 City / 12.3 Highway,(905) 632-6252,$280/bi-weekly,Available at Go Terrace Ford Lincoln
Ford Escape,"$20,497 ","94,000 km",11.2 City / 8.4 Highway,(905) 632-6252,$191/bi-weekly,Available at Go Terrace Ford Lincoln
BMW X3,"$32,497 ","81,000 km",10.8 City / 8 Highway,(905) 632-6252,$304/bi-weekly,Available at Go Terrace Ford Lincoln
Ford F-150,"$60,765 ",New,12.5 City / 10.7 Highway,(905) 632-6252,$370/bi-weekly,Available at Go Terrace Ford Lincoln
Subaru WRX,"$25,589 ","103,000 km",11.3 City / 8.5 Highway,(905) 632-6252,$239/bi-weekly,Available at Go Terrace Ford Lincoln
Volkswagen Golf GTI,"$26,997 ","75,500 km",9.6 City / 7.5 Highway,(905) 632-6252,$252/bi-weekly,Available at Go Terrace Ford Lincoln
Ford Explorer,"$26,997 ","133,000 km",14.4 City / 10.5 Highway,(905) 632-6252,$252/bi-weekly,Available at Go Terrace Ford Lincoln
Ford Edge,"$48,145 ",New,11.5 City / 8.4 Highway,(905) 632-6252,$303/bi-weekly,Available at Go Terrace Ford Lincoln
Ford F-150,"$76,530 ",New,12.8 City / 10 Highway,(905) 632-6252,$466/bi-weekly,Available at Go Terrace Ford Lincoln
Ford F-150,"$72,405 ",New,9.7 City / 7 Highway,(905) 632-6252,$441/bi-weekly,Available at Go Terrace Ford Lincoln
Ford F-150,"$75,255 ",New,12.8 City / 10 Highway,(905) 632-6252,$459/bi-weekly,Available at Go Terrace Ford Lincoln
Ford Bronco Sport,"$45,114 ",New,9.3 City / 8.4 Highway,(905) 632-6252,$289/bi-weekly,Available at Go Terrace Ford Lincoln
Lincoln Navigator L,"$133,245 ",New,15.2 City / 10.8 Highway,(905) 632-6252,"$1,091/bi-weekly",Available at Go Terrace Ford Lincoln
Ford Edge,"$50,245 ",New,11.5 City / 8.4 Highway,(905) 632-6252,$317/bi-weekly,Available at Go Terrace Ford Lincoln
MINI Cooper Hardtop,"$8,997 ","162,000 km",7.3 City / 5.5 Highway,(905) 632-6252,$84/bi-weekly,Available at Go Terrace Ford Lincoln
Lincoln Aviator,"$80,325 ",New,13.7 City / 9.7 Highway,(905) 632-6252,$555/bi-weekly,Available at Go Terrace Ford Lincoln
Ford Bronco Sport,"$55,240 ",New,11.1 City / 9 Highway,(905) 632-6252,$409/bi-weekly,Available at Go Terrace Ford Lincoln
Lincoln Aviator,"$88,025 ",New,13.7 City / 9.7 Highway,(905) 632-6252,$608/bi-weekly,Available at Go Terrace Ford Lincoln
Ford F-150,"$53,625 ",New,14.8 City / 10.9 Highway,(905) 632-6252,$327/bi-weekly,Available at Go Terrace Ford Lincoln
Lincoln Nautilus,"$74,095 ",New,11.8 City / 9.4 Highway,(905) 632-6252,$504/bi-weekly,Available at Go Terrace Ford Lincoln
Ford Bronco,"$65,885 ",New,12.1 City / 11.1 Highway,(905) 632-6252,$473/bi-weekly,Available at Go Terrace Ford Lincoln
Ford Mustang Mach-E,"$68,940 ",New,No Information Found,(905) 632-6252,$487/bi-weekly,Available at Go Terrace Ford Lincoln
Ford F-150,"$78,230 ",New,12.8 City / 10 Highway,(905) 632-6252,$477/bi-weekly,Available at Go Terrace Ford Lincoln
Lincoln Aviator,"$82,825 ",New,13.7 City / 9.7 Highway,(905) 632-6252,$555/bi-weekly,Available at Go Terrace Ford Lincoln
Ford F-150,"$62,005 ",New,12.5 City / 10.7 Highway,(905) 632-6252,$378/bi-weekly,Available at Go Terrace Ford Lincoln
Ford F-150,"$72,705 ",New,12.8 City / 10 Highway,(905) 632-6252,$521/bi-weekly,Available at Go Terrace Ford Lincoln
Lincoln Aviator,"$86,175 ",New,13.7 City / 9.7 Highway,(905) 632-6252,$595/bi-weekly,Available at Go Terrace Ford Lincoln
Subaru Legacy,"$20,997 ","86,300 km",9.3 City / 7 Highway,(905) 632-6252,$196/bi-weekly,Available at Go Terrace Ford Lincoln
Ford F-150 Lightning,"$99,999 ",New,No Information Found,(905) 632-6252,$696/bi-weekly,Available at Go Terrace Ford Lincoln
Ford F-150,"$76,530 ",New,12.8 City / 10 Highway,(905) 632-6252,$466/bi-weekly,Available at Go Terrace Ford Lincoln
Ford Mustang Mach-E,"$69,997 ","22,100 km",No Information Found,(905) 632-6252,$503/bi-weekly,Available at Go Terrace Ford Lincoln
Ford F-150,"$43,960 ","93,000 km",14.8 City / 10.9 Highway,(905) 632-6252,$316/bi-weekly,Available at Go Terrace Ford Lincoln
Chevrolet Equinox,"$25,997 ","51,200 km",9.8 City / 7.9 Highway,(905) 632-6252,$243/bi-weekly,Available at Go Terrace Ford Lincoln
Ford Explorer,"$17,997 ","120,000 km",14.2 City / 10.3 Highway,(905) 632-6252,$168/bi-weekly,Available at Go Terrace Ford Lincoln
Honda HR-V,"$33,997 ","53,800 km",9.1 City / 7.7 Highway,(905) 632-6252,$244/bi-weekly,Available at Go Terrace Ford Lincoln
Ford Mustang Mach-E,Call for price,New,No Information Found,(905) 632-6252,$360/bi-weekly,Available at Go Terrace Ford Lincoln
Ford F-150,"$59,165 ",New,12.5 City / 10.7 Highway,(905) 632-6252,$483/bi-weekly,Available at Go Terrace Ford Lincoln
Ford Mustang Mach-E,"$68,290 ",New,No Information Found,(905) 632-6252,$338/bi-weekly,Available at Go Terrace Ford Lincoln
Ford F-150,"$53,625 ",New,12.5 City / 10.7 Highway,(905) 632-6252,$336/bi-weekly,Available at Go Terrace Ford Lincoln
Lincoln Continental,"$35,997 ","37,800 km",14.4 City / 9.7 Highway,(905) 632-6252,$299/bi-weekly,Available at Go Terrace Ford Lincoln
Mercedes-Benz GLA,"$31,997 ","55,900 km",10.1 City / 7.6 Highway,(905) 632-6252,$507/bi-weekly,Available at Go Terrace Ford Lincoln
Ford Mustang Mach-E,"$71,790 ",New,No Information Found,(905) 632-6252,$563/bi-weekly,Available at Go Terrace Ford Lincoln
Ford F-150 Lightning,"$83,550 ",New,No Information Found,(905) 632-6252,$316/bi-weekly,Available at Go Terrace Ford Lincoln
Ford Mustang,"$43,997 ","14,200 km",No Information Found,(905) 632-6252,$322/bi-weekly,Available at Go Terrace Ford Lincoln
Ford Escape,Call for price,New,10.2 City / 7.8 Highway,(905) 632-6252,$440/bi-weekly,Available at Go Terrace Ford Lincoln
Ford Edge,"$51,045 ",New,11.5 City / 8.4 Highway,(905) 632-6252,$557/bi-weekly,Available at Go Terrace Ford Lincoln
Ford F-150,"$61,405 ","21,600 km",12.5 City / 10.7 Highway,(905) 632-6252,$457/bi-weekly,Available at Go Terrace Ford Lincoln
Audi e-tron,"$77,497 ",New,No Information Found,(905) 632-6252,$466/bi-weekly,Available at Go Terrace Ford Lincoln
Ford F-150,"$74,955 ",New,12.8 City / 10 Highway,(905) 632-6252,$307/bi-weekly,Available at Go Terrace Ford Lincoln
Ford F-150,"$76,530 ","77,300 km",12.8 City / 10 Highway,(905) 632-6252,$619/bi-weekly,Available at Go Terrace Ford Lincoln
Volvo XC40,"$37,997 ",New,10.7 City / 7.7 Highway,(905) 632-6252,$201/bi-weekly,Available at Go Terrace Ford Lincoln
Ford F-150 Lightning,"$88,995 ","71,300 km",No Information Found,(905) 632-6252,No Information Found,Available at Go Terrace Ford Lincoln
Hyundai Santa Fe Sport,"$21,497 ",No Information Found,12 City / 9.1 Highway,(905) 632-6252,No Information Found,Available at Go Terrace Ford Lincoln
Lincoln Aviator,"$87,075 ",New,13.7 City / 9.7 Highway,(905) 632-6252,$601/bi-weekly,Available at Go Terrace Ford Lincoln
Ford Mustang Mach-E,"$60,690 ",New,No Information Found,(905) 632-6252,$429/bi-weekly,Available at Go Terrace Ford Lincoln
Ford Escape,"$22,835 ","85,000 km",11.2 City / 8.4 Highway,(905) 632-6252,$213/bi-weekly,Available at Go Terrace Ford Lincoln
Ford Explorer,"$42,997 ","90,400 km",No Information Found,(905) 632-6252,$347/bi-weekly,Available at Go Terrace Ford Lincoln
Ford Explorer,"$72,340 ",New,13.4 City / 9.8 Highway,(905) 632-6252,$479/bi-weekly,Available at Go Terrace Ford Lincoln
